Number of trabsactions: 952
1987-10-26 sell-high WEN 5128651
1987-10-28 buy-open AMGN 23591324
1987-10-28 sell-high AMGN 23591324
1987-10-29 buy-open ADSK 5882400
1987-10-29 sell-high ADSK 5882400
1987-11-10 buy-open LB 6621289
1987-11-10 sell-high LB 6621289
1987-12-11 buy-open NAV 732200
1987-12-11 sell-high NAV 732200
1987-12-21 buy-low NAV 1400500
1987-12-21 sell-close NAV 1400500
1988-01-06 buy-open ROST 9576840
1988-01-06 sell-high ROST 9576840
1988-01-28 buy-open ROST 50296381
1988-01-28 sell-high ROST 50296381
1988-02-02 buy-open ATRO 5071
1988-02-02 sell-high ATRO 5071
1988-02-08 buy-low NAV 497500
1988-02-08 sell-close NAV 497500
1988-02-09 buy-low NAV 527100
1988-02-09 sell-close NAV 527100
1988-03-23 buy-open TXT 9284873
1988-03-23 sell-high TXT 9284873
1988-08-12 buy-open BBY 15235851
1988-08-12 sell-high BBY 15235851
1988-12-19 buy-low NAV 1064900
1988-12-19 sell-close NAV 1064900
1988-12-28 buy-low ATRO 5091
1988-12-28 sell-close ATRO 5091
1989-03-22 buy-low DWDP 3742181
1989-03-22 sell-close DWDP 3742181
1989-06-12 buy-low ATRO 21213
1989-06-12 sell-close ATRO 21213
1989-06-16 buy-low ATRO 12729
1989-06-16 sell-close ATRO 12729
1989-06-20 buy-open DWDP 3914204
1989-06-20 sell-high DWDP 3914204
1989-06-21 buy-open ATRO 12729
1989-06-21 sell-high ATRO 12729
1989-06-27 buy-open ATRO 392447
1989-06-27 sell-high ATRO 392447
1989-07-31 buy-low ATRO 18970
1989-07-31 sell-close ATRO 18970
1989-09-20 buy-low ATRO 28001
1989-09-20 sell-close ATRO 28001
1989-12-01 buy-open NAV 7845100
1989-12-01 sell-high NAV 7845100
1990-01-09 buy-low ATRO 6732
1990-01-09 sell-close ATRO 6732
1990-01-17 buy-low ATRO 10367
1990-01-17 sell-close ATRO 10367
1990-01-25 buy-low ATRO 57797
1990-01-25 sell-close ATRO 57797
1990-04-27 buy-open ATRO 92489
1990-04-27 sell-high ATRO 92489
1990-05-17 buy-open PNW 2836447
1990-05-17 sell-high PNW 2836447
1990-05-24 buy-open ATRO 10076
1990-05-24 sell-high ATRO 10076
1990-09-25 buy-open GNTX 4614680
1990-09-25 sell-high GNTX 4614680
1990-10-26 buy-low UIS 1100170
1990-10-26 sell-close UIS 1100170
1990-12-28 buy-low UIS 110160
1990-12-28 sell-close UIS 110160
1991-02-01 buy-low NAV 1757600
1991-02-01 sell-close NAV 1757600
1991-02-08 buy-open UIS 484270
1991-02-08 sell-high UIS 484270
1991-04-19 buy-open ATRO 103519
1991-04-19 sell-high ATRO 103519
1991-07-02 buy-open DWDP 1538609
1991-07-02 sell-high DWDP 1538609
1991-07-09 buy-low DWDP 1640506
1991-07-09 sell-close DWDP 1640506
1991-08-13 buy-open DWDP 1631860
1991-08-13 sell-high DWDP 1631860
1991-08-15 buy-low DWDP 1554402
1991-08-15 sell-close DWDP 1554402
1991-08-26 buy-low DWDP 824954
1991-08-26 sell-close DWDP 824954
1991-09-09 buy-open DWDP 1019724
1991-09-09 sell-high DWDP 1019724
1992-01-08 buy-open BIIB 2192569
1992-01-08 sell-high BIIB 2192569
1992-01-09 buy-low NE 3629741
1992-01-09 sell-close NE 3629741
1992-01-22 buy-open GILD 177814481
1992-01-22 sell-high GILD 177814481
1992-01-27 buy-open ATRO 178187
1992-01-27 sell-high ATRO 178187
1992-02-04 buy-open ATRO 1942243
1992-02-04 sell-high ATRO 1942243
1992-04-14 buy-low PHM 11404798
1992-04-14 sell-close PHM 11404798
1992-04-21 buy-low BIIB 482027
1992-04-21 sell-close BIIB 482027
1992-07-09 buy-open KLAC 3382637
1992-07-09 sell-high KLAC 3382637
1992-10-21 buy-open AN 42000
1992-10-21 sell-high AN 42000
1993-01-27 buy-open IAC 293750
1993-01-27 sell-high IAC 293750
1993-03-26 buy-low CB 2285096
1993-03-26 sell-close CB 2285096
1993-04-19 buy-open IAC 268731
1993-04-19 sell-high IAC 268731
1993-04-22 buy-open TWX 58624266
1993-04-22 sell-high TWX 58624266
1993-05-20 buy-open IAC 600007
1993-05-20 sell-high IAC 600007
1993-07-07 buy-open ITUS 18968
1993-07-07 sell-high ITUS 18968
1993-07-12 buy-open IAC 1046452
1993-07-12 sell-high IAC 1046452
1993-09-29 buy-low THC 785063
1993-09-29 sell-close THC 785063
1993-12-22 buy-low JBL 2090342
1993-12-22 sell-close JBL 2090342
1994-01-25 buy-low DE 829239
1994-01-25 sell-close DE 829239
1994-03-10 buy-low AMD 8281000
1994-03-10 sell-close AMD 8281000
1994-03-29 buy-open TRXC 2808
1994-03-29 sell-high TRXC 2808
1994-04-05 buy-low IAC 403311
1994-04-05 sell-close IAC 403311
1994-05-18 buy-low JBL 3264007
1994-05-18 sell-close JBL 3264007
1994-08-11 buy-open ITUS 9472
1994-08-11 sell-high ITUS 9472
1994-09-22 buy-open APHB 1
1994-09-22 sell-high APHB 1
1994-10-07 buy-open ITUS 1944
1994-10-07 sell-high ITUS 1944
1994-11-21 buy-open ITUS 2552
1994-11-21 sell-high ITUS 2552
1995-03-08 buy-open APHB 2
1995-03-08 sell-high APHB 2
1995-03-16 buy-open BIIB 1914427
1995-03-16 sell-high BIIB 1914427
1995-05-22 buy-open AN 4947800
1995-05-22 sell-high AN 4947800
1995-05-31 buy-open AN 2790200
1995-05-31 sell-high AN 2790200
1995-08-25 buy-low IAC 5675685
1995-08-25 sell-close IAC 5675685
1995-12-04 buy-open NTAP 6527888
1995-12-04 sell-high NTAP 6527888
1995-12-06 buy-low ATRO 788098
1995-12-06 sell-close ATRO 788098
1995-12-08 buy-low AXGN 114023
1995-12-08 sell-close AXGN 114023
1995-12-28 buy-open USB 3535657
1995-12-28 sell-high USB 3535657
1996-01-23 buy-open USB 5404877
1996-01-23 sell-high USB 5404877
1996-01-31 buy-open JBL 23041465
1996-01-31 sell-high JBL 23041465
1996-04-12 buy-open AABA 408720000
1996-04-12 sell-high AABA 408720000
1996-05-23 buy-open ADMP 17906
1996-05-23 sell-high ADMP 17906
1996-06-18 buy-low APHB 1
1996-06-18 sell-close APHB 1
1996-06-28 buy-open CHKP 32796000
1996-06-28 sell-high CHKP 32796000
1996-07-16 buy-low TRXC 836
1996-07-16 sell-close TRXC 836
1996-07-17 buy-open MITK 152000
1996-07-17 sell-high MITK 152000
1996-11-06 buy-open INTU 28855290
1996-11-06 sell-high INTU 28855290
1997-02-07 buy-low ENSV 87500
1997-02-07 sell-close ENSV 87500
1997-05-06 buy-open TTNP 28655
1997-05-06 sell-high TTNP 28655
1997-09-11 buy-low ENSV 326800
1997-09-11 sell-close ENSV 326800
1997-10-22 buy-low ENSV 50333
1997-10-22 sell-close ENSV 50333
1997-10-28 buy-low TRXC 934
1997-10-28 sell-close TRXC 934
1997-11-18 buy-low ENSV 371882
1997-11-18 sell-close ENSV 371882
1997-11-19 buy-open ENSV 301957
1997-11-19 sell-high ENSV 301957
1997-12-30 buy-low TRXC 3450
1997-12-30 sell-close TRXC 3450
1997-12-31 buy-low ENSV 377975
1997-12-31 sell-close ENSV 377975
1998-01-23 buy-low ENSV 34682
1998-01-23 sell-close ENSV 34682
1998-05-05 buy-low ENSV 243100
1998-05-05 sell-close ENSV 243100
1998-05-18 buy-open APHB 226
1998-05-18 sell-high APHB 226
1998-06-29 buy-low ITUS 828
1998-06-29 sell-close ITUS 828
1998-07-29 buy-low ITUS 852
1998-07-29 sell-close ITUS 852
1998-08-31 buy-open TRXC 446
1998-08-31 sell-high TRXC 446
1998-10-08 buy-low ITUS 300
1998-10-08 sell-close ITUS 300
1998-11-04 buy-low TRXC 952
1998-11-04 sell-close TRXC 952
1998-11-05 buy-open TRXC 419
1998-11-05 sell-high TRXC 419
1999-02-02 buy-low AXGN 19860
1999-02-02 sell-close AXGN 19860
1999-04-26 buy-low TRXC 34240
1999-04-26 sell-close TRXC 34240
1999-04-27 buy-low TRXC 459580
1999-04-27 sell-close TRXC 459580
1999-05-13 buy-open ITUS 1492
1999-05-13 sell-high ITUS 1492
1999-08-11 buy-low ITUS 1080
1999-08-11 sell-close ITUS 1080
1999-10-15 buy-low PCG 848446
1999-10-15 sell-close PCG 848446
1999-10-18 buy-low PCG 680855
1999-10-18 sell-close PCG 680855
1999-11-23 buy-low TRXC 44080
1999-11-23 sell-close TRXC 44080
1999-12-15 buy-low ITUS 1936
1999-12-15 sell-close ITUS 1936
2000-01-14 buy-open AXGN 129112
2000-01-14 sell-high AXGN 129112
2000-02-16 buy-open APHB 127
2000-02-16 sell-high APHB 127
2000-04-04 buy-low MITK 766800
2000-04-04 sell-close MITK 766800
2000-04-18 buy-open APHB 12
2000-04-18 sell-high APHB 12
2000-04-19 buy-open PCG 1320193
2000-04-19 sell-high PCG 1320193
2000-04-27 buy-low MXIM 3585330
2000-04-27 sell-close MXIM 3585330
2000-05-02 buy-open ITUS 2712
2000-05-02 sell-high ITUS 2712
2000-07-26 buy-open AXGN 148101
2000-07-26 sell-high AXGN 148101
2000-12-22 buy-low ITUS 2036
2000-12-22 sell-close ITUS 2036
2001-01-04 buy-open TRXC 17380
2001-01-04 sell-high TRXC 17380
2001-01-10 buy-open MITK 237800
2001-01-10 sell-high MITK 237800
2001-03-23 buy-open ITUS 1732
2001-03-23 sell-high ITUS 1732
2001-04-30 buy-open ITUS 652
2001-04-30 sell-high ITUS 652
2001-05-04 buy-open ITUS 584
2001-05-04 sell-high ITUS 584
2001-06-12 buy-open MITK 63900
2001-06-12 sell-high MITK 63900
2001-10-24 buy-open ENSV 7333
2001-10-24 sell-high ENSV 7333
2001-12-11 buy-open TRXC 22260
2001-12-11 sell-high TRXC 22260
2001-12-21 buy-open RAVE 208600
2001-12-21 sell-high RAVE 208600
2002-04-22 buy-low PCG 979964
2002-04-22 sell-close PCG 979964
2002-06-03 buy-open AXGN 22257
2002-06-03 sell-high AXGN 22257
2002-07-12 buy-open FITB 4423335
2002-07-12 sell-high FITB 4423335
2002-09-03 buy-open AXGN 46703
2002-09-03 sell-high AXGN 46703
2002-09-18 buy-open BEN 3274667
2002-09-18 sell-high BEN 3274667
2002-11-05 buy-open TRXC 4540
2002-11-05 sell-high TRXC 4540
2002-12-18 buy-low AXGN 731
2002-12-18 sell-close AXGN 731
2002-12-19 buy-low AXGN 3070
2002-12-19 sell-close AXGN 3070
2002-12-26 buy-open AXGN 24862
2002-12-26 sell-high AXGN 24862
2003-01-07 buy-open AXGN 113569
2003-01-07 sell-high AXGN 113569
2003-01-27 buy-open AXGN 484
2003-01-27 sell-high AXGN 484
2003-02-05 buy-open AXGN 1477
2003-02-05 sell-high AXGN 1477
2003-02-21 buy-open AXGN 1338
2003-02-21 sell-high AXGN 1338
2003-02-24 buy-open AXGN 6921
2003-02-24 sell-high AXGN 6921
2003-04-16 buy-open AXGN 11760
2003-04-16 sell-high AXGN 11760
2003-07-11 buy-open AXGN 44016
2003-07-11 sell-high AXGN 44016
2003-11-03 buy-low MITK 3002500
2003-11-03 sell-close MITK 3002500
2003-11-06 buy-open AXGN 2182
2003-11-06 sell-high AXGN 2182
2004-01-21 buy-open AXGN 63311
2004-01-21 sell-high AXGN 63311
2004-04-15 buy-open ITUS 4008
2004-04-15 sell-high ITUS 4008
2004-04-23 buy-low ITUS 576
2004-04-23 sell-close ITUS 576
2004-05-26 buy-low MITK 50600
2004-05-26 sell-close MITK 50600
2004-06-25 buy-low MARK 4290
2004-06-25 sell-close MARK 4290
2004-07-26 buy-open AXGN 96220
2004-07-26 sell-high AXGN 96220
2004-08-04 buy-open MARK 970
2004-08-04 sell-high MARK 970
2004-12-07 buy-open APDN 495
2004-12-07 sell-high APDN 495
2004-12-27 buy-low ADMP 150753
2004-12-27 sell-close ADMP 150753
2005-03-14 buy-low ARE 72800
2005-03-14 sell-close ARE 72800
2005-03-23 buy-low EIX 3081977
2005-03-23 sell-close EIX 3081977
2005-08-03 buy-open SYN 31
2005-08-03 sell-high SYN 31
2005-09-08 buy-open SYN 169
2005-09-08 sell-high SYN 169
2005-09-13 buy-low SYN 11
2005-09-13 sell-close SYN 11
2005-09-15 buy-low SYN 11
2005-09-15 sell-close SYN 11
2005-09-16 buy-low SYN 15
2005-09-16 sell-close SYN 15
2005-09-20 buy-open SYN 402
2005-09-20 sell-high SYN 402
2005-09-30 buy-open SYN 3
2005-09-30 sell-high SYN 3
2006-01-26 buy-low HGT 112935
2006-01-26 sell-close HGT 112935
2006-02-06 buy-low HGT 144119
2006-02-06 sell-close HGT 144119
2006-02-08 buy-low SYN 167
2006-02-08 sell-close SYN 167
2006-02-21 buy-open SYN 367
2006-02-21 sell-high SYN 367
2006-03-15 buy-open SYN 167
2006-03-15 sell-high SYN 167
2006-03-20 buy-low TREC 70040
2006-03-20 sell-close TREC 70040
2006-03-28 buy-open SYN 554
2006-03-28 sell-high SYN 554
2006-04-06 buy-open SYN 67
2006-04-06 sell-high SYN 67
2006-06-06 buy-open SYN 733
2006-06-06 sell-high SYN 733
2007-01-17 buy-low BXP 988249
2007-01-17 sell-close BXP 988249
2007-01-19 buy-open CYRX 3
2007-01-19 sell-high CYRX 3
2007-03-19 buy-low BXP 1009452
2007-03-19 sell-close BXP 1009452
2007-03-28 buy-low CYRX 1
2007-03-28 sell-close CYRX 1
2007-05-07 buy-open BXP 886684
2007-05-07 sell-high BXP 886684
2007-08-06 buy-low CLFD 32900
2007-08-06 sell-close CLFD 32900
2007-08-17 buy-open MSN 40838
